Question,,,Answer,,,,,,,,,,,,,,,,,,,,,,,,
WHAT'S WRONG WITH VIEWING PORNOGRAPHY,,,"Pornography devalues sex and can be very seductive and habit-forming and its scripts are quite influencial and also do not show the value of consents, with increasing needs for more sensational material. Exposure to pornography also leads to unrealistic expectations later in life. Viewing pornography detaches you from the “real world” and real relationships with people. Young men who routinely view pornography have to eventually get more and more increasingly hard-core pornography to get sexually stimulus.",,,,,,,,,,,,,,,,,,,,,,,,
What is a virgin?,,,"“A virgin is anyone who has never had sexual intercourse (oral, vaginal, or anal)”. Many teens falsely assume that they are still virgins if they only have oral sex, but this is simply not true. Oral sex is sex, vaginal sex is sex, and anal sex is sex. Any time your sexual organs are sexually stimulated by the touch of another person, you’re involved in a form of sexual activity.",,,,,,,,,,,,,,,,,,,,,,,,
 Is oral sex a safe alternative?,,,"While you cannot get pregnant through oral sex, it is still clearly a sexual act, and most teens who engage in oral sex will proceed to vaginal sex. One problem with oral sex is that the intimacy of sex is removed. Many girls often feel used after performing the act. Furthermore, virtually all STDs can be transmitted through oral sex. And some STDs, including genital Herpes, Syphilis, and Chlamydia are easily spread through oral sex as well.",,,,,,,,,,,,,,,,,,,,,,,,
What if I've already had sex?,,,Having sex is just normal and there should not be any regret if you have taken the consent,,,,,,,,,,,,,,,,,,,,,,,,
Can you get pregnant during your period?,,,"ANS- Technically, no — the time a woman is fertile is mostly limited to a few days each month in the middle of the menstrual cycle, meaning about two weeks from when she started her last period. That said, women may have bleeding during their cycle that is not a true period.",,,,,,,,,,,,,,,,,,,,,,,,
What do I do when the condom breaks?,,,"First, consider getting tested for STDs if you were using it to prevent them.If you’re concerned about getting pregnant, there are three ways to prevent it, explained here in order of effectiveness from most to least:Go to your women’s health provider (doctor or midwife, nurse practitioner, or PA) and have a copper IUD inserted.",,,,,,,,,,,,,,,,,,,,,,,,
Does penis size matter?,,,"PENIS SIZE DOESN,T MATTER IN T",,IN TERMS OF,MAKING A GIRL, PREGNANT ORHAVING ORGASMS,,,,,,,,,,,,,,,,,,,,
Should you still use protection with oral sex?,,,"Yes, to reduce the likelihood of STD transmission with oral sex, a dental dam is recommended when having sex with a new or non-monogamous partner. The dental dam is a sheet of soft pliable film that serves as a barrier to prevent STD transmission",,,,,,,,,,,,,,,,,,,,,,,,
Can you get pregnant from pre-cum?,,,It turns out there are likely not sperm in pre-ejaculate and what actually accounts for the relatively high failure rate is that the man doesn’t actually pull out,,,,,,,,,,,,,,,,,,,,,,,,
Will menstruation cause anaemia?,,,: No. the loss is compensated soon.,,,,,,,,,,,,,,,,,,,,,,,,
I get frequent wet dreams. how to stop them?,,,": It is natural. A wet dream is like a safety valve of the cooker. You do not need any treatment. It will be less when it finds an alternative vent, like masturbation or marital sexual intercourse.",,,,,,,,,,,,,,,,,,,,,,,,
WHAT HAPPENS WHEN GIRLS GET SEXUALLY STIMULATED,,,"Girl gets wetness in the vagina, but she does not ejaculate any fluid at the time of climax",,,,,,,,,,,,,,,,,,,,,,,,
Does celibacy lead to healthier life?,,,"There is no evidence that a celibate person lives longer and healthier life. On the contrary, married men like Maharshi Dhondo Keshav Karve, Shri. Vishweshwaraiyah Pandit Satavalekar who lived for over 10 years and achieved great heights in their life.",,,,,,,,,,,,,,,,,,,,,,,,
At what age the boys and girls should get married?,,,"Legally a boy of 21 and a girl of 18 can get married. Their bodies are mature by then, but their minds are not. They might not be able to select partner judiciously at that age. Unless one completes the education, builds up a career, enjoys economic independence by having a job/profession, able to afford a home for the family, has been prepared for responsible parenthood, a marriage should not be thought of. This may be possible after 20 years for girls; and after 23 years for boys.",,,,,,,,,,,,,,,,,,,,,,,,
Is it necessary for boys to get an experience of sexual intercourse before marriage?,,,"No. In fact such attempt could prove dangerous since contracting STD, HIV infection or a failure in sexual performance could be inevitable.",,,,,,,,,,,,,,,,,,,,,,,,
Is the first wedding night most tittilating and memorable?,,,"No. it is a myth. On the other hand, it could be disappointing one. The reasons are many. Both, husband and wife are novice to the sexual intercourse. Both are ignorant about the genitals and about the sexual act. Both are tired, and therefore sex may not work. The first wedding night and the successive few nights are mant for understanding each other. The expertise in sex performance is achieved by trial and error, since there is no avenue for guidance.",,,,,,,,,,,,,,,,,,,,,,,,
.: Is delivery a painful process to a woman?,,,Not much. The great reward of motherhood makes a woman bear this pain. Delivery is a physiological process found in all the mammals including human beings.,,,,,,,,,,,,,,,,,,,,,,,,
HOW TO IDENTIFY A GOOD AND A  BAD TOUCH,,,"By looking at facial expressions , the way of speaking either stammering or the instantaneous change in behaviour.",,,,,,,,,,,,,,,,,,,,,,,,
What is erection ?,,,"An erection  is a physiological phenomenon in which the penis becomes firm, engorged, and enlarged.",,,,,,,,,,,,,,,,,,,,,,,,
Is early sex risky ?,,,Early sex is risky. Two characteristics of adolescence are a sense of invulnerability and underdeveloped executive function. These result in many teens becoming sexually active without thinking through short- and long-term consequences.  ,,,,,,,,,,,,,,,,,,,,,,,,
Does sex helps in mind relaxation,,,Sex has take in relaxing mind involving physical strength and endurance it can also act as a workout for you and just like workout it can relax you .,,,,,,,,,,,,,,,,,,,,,,,,
IS SEX AGAINST OUR VALUES ,,,Sex without consent perhaps is but sex with consent  is not against the values .,,,,,,,,,,,,,,,,,,,,,,,,
WHAT DOES HAPPEN IN SEXUAL PROCCESS,,,"When a man becomes aroused, the nerves surrounding his penis become active, causing the muscles around the arteries to relax and more blood to flow into the penis. The additional blood makes the penis stiff and hard, or erect. This erection tightens the veins so the blood can’t leave the penis, enabling the penis to remain erect.",,,,,,,,,,,,,,,,,,,,,,,,"When a woman becomes aroused, the vaginal lips and clitoris swell, the nipples on her breast become erect, and the vaginal walls fill with blood. The vagina becomes lubricated, or slippery, by the passage of fluids through the vaginal walls."
HOW ARE CONDOMS USED ,,,"Pinching the reservoir shut with one hand, place the condom against the tip of the erect penis. With your other hand, push your pubic hair out of the way if necessary. Then, gently roll the condom down the entire shaft of the penis, smoothing out any air bubbles that may appear",,,,,,,,,,,,,,,,,,,,,,,,
WHY TO USE CONDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHAT ARE THE AFFECTS OF SEX,,,"Osteoporosis, Depression, Autoimmune  ,Heart diseases ,stroke, Parkinson’s disease and cancer",,,,,,,,,,,,,,,,,,,,,,,,
CAN WE LEARN ABOUT SEX FROM PORN,,,"No , Pornographical content is not the right source for learning about sex as it deceives the things like consents which is a social deprivation",,,,,,,,,,,,,,,,,,,,,,,,
HOW OFTEN CAN WE MASTURBATE IN A DAY,,,MASTUBATING ONCE A DAY IS NORMAL,,,,,,,,,,,,,,,,,,,,,,,,
IS SEX WITH MULTIPLE PEOPLE AT A TIME SAFE,,,IT IS SAFE BUT CONSENT HAS TO BE TAKEN PROPER PROTECTION HAS TO BE USED.,,,,,,,,,,,,,,,,,,,,,,,,
WHAT DOES NIGHTFALL INDICATE,,,Absence or lack of sexual activity 2 Watching too much of explicit content 3 Excessive stimulation of genitals 4 Inadequate ejaculation 5 Going to bed with full bladder at night 6 Obesity 7 stress 8 physical inactivity 9 Taking of sex hormone supplements 10 Weak muscles,,,,,,,,,,,,,,,,,,,,,,,,
HOW CAN WE MAINTAIN THE HYGIENE OF OUR GENITAL AREA,,,"· The genital area should be cleaned with soap and water once every day with a mild and fragrance free soap.Cleaning the genitals just once every day and after sexual intercourse is quite enough. Anything more or less may disturb your vaginal PH.The internal genitalia or vagina does not require cleaning, especially with soap. This area is endowed with the good bacteria such as lactobacilli that produce lactic acid to destroy any harmful organisms. Washing may disrupt this pH resulting in the entry of unwanted infectious organisms.Always clean the vulva or genital area before the anal region to prevent the entry of harmful organisms from the anus into the genitals.While cleaning your genital area with a tissue or even while wiping it dry with a towel, always pat dry and then go from front to back with a single stroke. This prevents the contamination of the genitals with organisms from the anus that are known to cause urinary tract infections amongst others.Avoid cleaning your genitals with hot or warm water, as doing so may result in dryness and irritation. Using a hand held shower and some cold water is always recommended for this.",,,,,,,,,,,,,,,,,,,,,,,,
IS I-PILL SAFE,,,"However, there may be some side effects such as nausea, fatigue, headache, and stomach cramps due to hormonal imbalance.",,,,,,,,,,,,,,,,,,,,,,,,
IS COPPER-T SAFE,,,It is a highly effective and safe method of contraception.,,,,,,,,,,,,,,,,,,,,,,,,
IS SEXUAL INTERACTION DURING DATES NORMAL,,,YES SEXUAL INTERACTIONS DURING A DATE IS NORMAL BUT CONSENT HAS TO BE TAKEN FOR SO,,,,,,,,,,,,,,,,,,,,,,,,
HOW CAN BISEXUALS HAVE SEX,,,- BISEXUAL CAN HAVE THROUGH ORAL MEANS OF SEX  ,,,,,,,,,,,,,,,,,,,,,,,,
HOW CAN WE PREVENT BABY AFTER UNSAFE SEX,,,"- Emergency contraception is a way to prevent pregnancy after unprotected sex. Often called the morning-after pill, emergency contraceptive pills (ECPs) are pills that can be taken up to 120 hours (5 days) after having unprotected sex",,,,,,,,,,,,,,,,,,,,,,,,
IS THERE ANY TREATMENT OF AIDS,,,"Currently, there's no cure for HIV / AIDS. Once you have the infection, your body can't get rid of it.",,,,,,,,,,,,,,,,,,,,,,,,
IS SEXUAL INTERACTION DURING PERIODS PREFFERABLE,,,It is perfectly normal to have sex and enjoy it while on your period. There is no medical reason which might stop one from period sex. There is nothing wrong or dangerous about having sex during your menstrual cycle,,,,,,,,,,,,,,,,,,,,,,,,
WHAT IS THE SAFEST METHOD OF GENITAL HAIR REMOVAL,,,"WAXING, TRIMMING, GENETICAL ELECTROLYSYS AND LASER TREATMENT ARE SOME OF THE SAFE METHODS OF CENITAL HAIR REMOVAL",,,,,,,,,,,,,,,,,,,,,,,,
DO GIRLS ALSO FACE PROBLEMS LIKE NIGHTFALL,,,"It can happen in women, but it is not as common of an occurrence.",,,,,,,,,,,,,,,,,,,,,,,,
WHAT ARE THE CHENGES IN BODY AFTER SEX,,,"-There are other body changes after sex, but might not be as noticeable. For instance, your nostrils will flare in response to heavy breathing, and your back might arch involuntarily, bringing you closer to your partner. Your eyes might tear, and your thighs might become tense and even shake.",,,,,,,,,,,,,,,,,,,,,,,,
DOES STAMINA MATTER IN SEX,,,"FOR THE SAKE OF EXPERIENCE IT MATTERS BUT DESPITE OF A LOW STAMINA , YOU CAN BE INVOLVED IN THE PROCCESS OF REPRODUCTION",,,,,,,,,,,,,,,,,,,,,,,,
IS PORN REAL,,,PORNOGRAPHICAL CONTENT IS PURELY SCRIPTED AND IS NOT REAL.,,,,,,,,,,,,,,,,,,,,,,,,
WHAT IF OUR SPERM COUNT IS LOW,,,"ANS-Infertility caused by low sperm count can be stressful for both you and your partner. Complications can include: 1. Surgery or other treatments for an underlying cause of low sperm count 2. Expensive and involved assisted reprod--uctive techniques, such as in vitro fertilization (IVF) 3. Stress related to the inability to have a child",,,,,,,,,,,,,,,,,,,,,,,,
IS PAID SEX OKAY,,,YES PAID SEX IS OKAY BUT CONSENT AND PRECAUTIONS HAVE TO BE MAINTAINED.,,,,,,,,,,,,,,,,,,,,,,,,
CAN SEXUAL INTERCOURSE RESULT IN BLEEDING OF GENITAL PART,,,"Rough sex can lead to vaginal tearing, which again can lead to some spotting later. In some rare cases, if the blood is darker in colour, it could be some old menstrual blood coming out from the uterus.",,,,,,,,,,,,,,,,,,,,,,,,
IS VIAGRA SAFE ,,,"VIAGRA IS NOT ABSOLUTELY SAFE BUT IS USED TO BE TAKEN TO CURE ERECTILE DYSFUNCTION. DOME OF IT’S SIDE EFFECTS ARE Flushing (sense of warmth in the face, ears, neck and trunk) Headache, Blurred vision, Muscle pain, Upset stomach, Rash",,,,,,,,,,,,,,,,,,,,,,,,
ARE SEX TOYS SAFE,,,"Yes, if you use them responsibly and keep them clean – otherwise, sex toys can pass on sexually transmitted infections (STIs) and infections passed on through the blood",,,,,,,,,,,,,,,,,,,,,,,,
IS VIBRATOR LEGAL,,,YES VIBRATOR IS LEGAL IN INDIA,,,,,,,,,,,,,,,,,,,,,,,,
WHAT IS THE MOST APPROPRIATE AGE OF SEX,,,18 IS THE RIGHT AGE FOR BOTH MEN AND WOMEN TO BE SEXUALLY ACTIVE.,,,,,,,,,,,,,,,,,,,,,,,,
WHY IS SEX CONSIDERED AS A TABOO,,,"Since it is a very private act where two people share compassion, many cultures do not allow open discussions or depiction of such instances",,,,,,,,,,,,,,,,,,,,,,,,
IS THERE ANY METHOD OF GETTING BABIES WITHOUT SEX,,,"IVF, TURKEY BASTER TECHNIQUE , IUI,SPLASH PREGNANCY,SURROGACY AND ADOPTION ARE SOME OF THE METHODS.",,,,,,,,,,,,,,,,,,,,,,,,
DOES GOD HAVE ANY ROLE IN FORMATION OF BABIES,,,NO GOD DOES NOT HAVE ANY ROLE IN THE PROCCESS.,,,,,,,,,,,,,,,,,,,,,,,,
WHAT PRECAUTIONS CAN BE TAKEN FOR SEX,,,PRECAUTIONS LIKE THE USE OF CONTRACEPTIVES AND MAINTAINING THE OVERALL AS WELL AS ORAL HYGIENCE IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,
WHAT IS THE MENTAL EFFECT OF SEX,,,"It reduces stress, boosts immune and enhances our mood.",,,,,,,,,,,,,,,,,,,,,,,,
WHAT IS THE APPROPRIATE PERIOD OF RELATIONSHIP FOR SEX,,,THAT IS PURELY RELATIONSHIP AND CONSENT DEPENDENT FROM BOTH THE SIDES,,,,,,,,,,,,,,,,,,,,,,,,
WHY IS SEX IMPORTANT,,,SEX PLAYS A VITAL ROLE IN CONTINUATION OF A SPECIECIES LEADING TO EVOLUTION TOO.,,,,,,,,,,,,,,,,,,,,,,,,
WHAT IS IMPOTENT,,,A person abnormally unable to achieve an erection or orgasm.,,,,,,,,,,,,,,,,,,,,,,,,
TILL WHAT AGE CAN A GIRL GET PREGNANT,,,IN MOST OF THE CASES 45 IS THE AGE IN WHICH FERTILITY NATURALLY DECREASES.,,,,,,,,,,,,,,,,,,,,,,,,
IS VASECTOMY SAFE,,,Vasectomy is a safe and effective birth control choice for men who are certain they don't want to father a child in the future,,,,,,,,,,,,,,,,,,,,,,,,
IS VASECTOMY PERMANENT.,,,"It's considered permanent, so once it's done you don't have to think about contraception again. It doesn't affect your sex drive or ability to enjoy sex. You'll still have erections and ejaculate, but your semen won't contain sperm",,,,,,,,,,,,,,,,,,,,,,,,
HOW CAN A WOMEN AVOID PREGNANCY PERMANENTLY,,,"Essure, Tubal Ligation and Vasectomy ARE SOME OF THE SAFE METHODS FOR SO.",,,,,,,,,,,,,,,,,,,,,,,,
DOES SPERM COUNT DEPEND UPON GENETIC FACTOR,,,ANS- Men can carry genetic disorders such as loss of part of the Y chromosome or extra chromosomes as a cause of low sperm counts. These disorders can be passed on to their offspring.,,,,,,,,,,,,,,,,,,,,,,,,
CAN REGULAR SEX RESULT IN DEPPRESSION,,,"IN MOST CASES IT DOES NOT AND IN MANY IT MAY This is commonly referred to as “post-sex blues.” This happens when you feel a range of negative feelings after wanted sexual activity. You can feel a range of emotions including sadness, irritability, agitation, anxiety, and depression after sex with a partner",,,,,,,,,,,,,,,,,,,,,,,,
what kind of problems are experienced by the one who loses virginity,,,"Sometimes the pressure of having sex for the very first time might get to you and you could suffer erection issues or premature ejaculation and During this sexual arousal, well-oxygenated blood is supplied to your genitals and breasts. As a result, the outer lips, inner lips and clitoris may begin to swell and your heart rate and blood pressure may also increase momentarily.",,,,,,,,,,,,,,,,,,,,,,,,
IS REGULAR SEX SAFE,,,yes regular sex is safe but precautions have to be taken.,,,,,,,,,,,,,,,,,,,,,,,,
WHAT is the result of sex between 2 high age gaped ones,,,– if there is no chance of early pregnancy and proper precautions are taken then the sex is safe.,,,,,,,,,,,,,,,,,,,,,,,,
DOES FOOD EFFECT SEX,,,"A good diet can help boost your libido and ensure your body is working well. A poor diet can lead to a host of health issues, which may negatively effect your sex life. For example, erectile dysfunction is often linked to obesity and diabetes, which can be caused by a poor diet.",,,,,,,,,,,,,,,,,,,,,,,,
CAN SEX AFFECT LOVE,,,"That rush of oxytocin is involved in the physical part of sex. It can also boost emotions like love, affection, and euphoria.",,,,,,,,,,,,,,,,,,,,,,,,
CAN SEX MAKE YOUR BODY WEAK,,,NO IT DOES NOT,,,,,,,,,,,,,,,,,,,,,,,,
WHAT INTERVAL SHOULD BE THERE BETWEEN TAKING 2 I-PILLS,,,INTERVAL OF 72 HOURS SHOULD BE THERE BETWEEN TAKING 2 I - PILLS,,,,,,,,,,,,,,,,,,,,,,,,
What is the appropriate time for abortion,,,DURING THE PREGNANCY 1ST AND 3RD TRIMESTER IT SHOULD AVOIDED AND THE RISK OF ABORTION INCREASES IF INTERCOURSE IS DONE BETWEEN THIS PERIOD.,,,,,,,,,,,,,,,,,,,,,,,,
WHAT ARE SIGNS AND SYMPTOMS OF STD,,,"WHITE DISCHARGE , LOWER ABDOMINAL PAIN , ULCERATIONS , DYPERNUNIA",,,,,,,,,,,,,,,,,,,,,,,,
WHAT ARE THE REASONS FOR IRREGULAR PERIODS,,,"thyroid disorders , obesity, pco polycystic syndrome are some of so ",,,,,,,,,,,,,,,,,,,,,,,,
WHAT ARE SIGN AND SYMPTOMS SEEN IN EARLY PREGNANCY,,,"MISSED PERIODS, NOUSEA, VOMITING, DIZZINESS, BREAST CONGESTION ,AND SOMETIMES LOWER ABDOMEN PAIN",,,,,,,,,,,,,,,,,,,,,,,,
WHAT PRECAUTIONS SHOULD BE TAKEN FOR MENSTRUATION,,,"USE HYGIENIC SANITARY PADS SHOULD CHANGED 2-3 PADS PER DAY IN NORMAL FLOW DO NOT USE CLOTH , SOMETIMES TAMPOONS CAN ALSO BE USE PROVIDED THEY ARE CLEANED REGULARLY",,,,,,,,,,,,,,,,,,,,,,,,
VACCINATION RECOMMENDED IN ADOLOSCENT GIRLS,,,"TO AVOID STD AND CERVICAL CANCER , VACCINATIONS ARE RECOMMENDED FOR ADOLOSCENT GIRLS WHEN THEY ATTAIN MENARCHY. CERVARIX ANDGRADASILSCHEDULED",,,,,,,,,,,,,,,,,,,,,,,,